"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
394,113,13,48,56,18,3,244,1388,74,1043,33,11,"A","E",280,2,3,NA,"A"
479,184,21,44,81,23,8,4933,633,94,371,117,62,"N","W",1377,5,5,773.333,"N"
303,84,8,84,47,52,6,5885,1767,12,698,93,325,"N","E",92,115,2,277.5,"N"
215,171,18,12,87,26,5,549,902,39,57,327,91,"A","E",682,9,5,350,"A"
466,159,3,91,59,31,2,2815,61,54,216,955,155,"N","E",303,7,2,250,"A"
221,72,4,35,54,38,5,1928,101,42,176,714,166,"A","E",190,40,11,430,"A"
574,144,19,41,60,47,6,2723,170,13,201,163,157,"N","E",0,45,5,100,"A"
551,94,24,28,30,72,13,3358,2198,24,66,805,258,"N","E",270,2,15,87.5,"A"
526,127,3,37,9,22,5,3859,326,13,181,37,14,"A","W",145,292,8,250,"A"
618,4,28,76,73,47,3,6090,1145,49,3,280,304,"A","E",237,317,4,400,"A"
209,168,4,83,15,24,3,1624,210,37,494,519,157,"A","W",88,204,20,920,"A"
374,198,8,24,24,81,11,2364,123,12,88,93,351,"A","W",151,151,0,NA,"N"
472,174,9,38,31,34,10,1876,1906,49,604,48,406,"A","E",109,9,8,NA,"N"
209,110,17,34,50,81,4,4618,357,23,408,342,80,"N","W",51,35,8,300,"A"
441,144,23,34,63,31,10,1493,2163,305,32,345,187,"N","E",0,94,19,700,"N"
490,127,8,30,26,31,3,6675,1069,28,438,1652,71,"A","W",107,38,20,NA,"A"
441,1,13,34,62,37,10,1335,50,145,178,435,866,"N","E",166,0,4,500,"A"
220,61,31,28,33,53,5,3070,219,19,1019,705,91,"N","E",299,445,11,612.5,"N"
490,161,23,31,36,26,4,2641,835,133,847,815,106,"N","W",756,119,6,275,"N"
220,4,14,31,116,39,5,4183,750,305,100,926,12,"A","W",138,9,25,1300,"N"
255,58,13,17,53,44,4,4631,510,351,577,316,921,"N","E",670,3,14,NA,"N"
24,98,4,69,36,33,4,7186,730,73,178,322,274,"A","E",260,141,16,525,"N"
330,149,12,35,101,76,6,680,209,32,419,83,61,"A","W",226,218,8,600,"A"
315,122,17,76,25,90,4,2131,267,351,557,203,784,"A","W",172,450,3,1975,"A"
374,168,23,28,27,55,11,3573,1051,2,106,56,175,"N","E",193,12,3,700,"A"
591,66,12,70,62,30,12,186,50,7,307,344,375,"A","W",332,8,8,560,"A"
204,85,21,44,70,13,7,3573,1133,39,2,88,80,"A","E",153,140,10,NA,"A"
490,74,8,85,65,68,4,2695,2273,65,107,1072,317,"A","E",280,6,4,1008.333,"N"
479,70,20,67,27,60,3,426,457,2,616,260,351,"A","E",121,369,2,415,"A"
418,95,2,65,41,1,4,1876,636,0,279,386,58,"N","E",211,270,5,NA,"A"
202,194,6,80,60,78,11,4631,249,110,634,120,488,"N","E",178,199,17,245,"A"
490,104,8,49,85,47,4,5829,684,1,335,80,921,"A","W",325,41,16,NA,"N"
416,98,13,46,58,33,14,159,238,102,144,1348,186,"A","E",367,72,6,2412.5,"A"
614,56,0,4,47,52,14,670,1369,79,371,337,466,"A","W",1320,13,15,776.667,"A"
504,77,7,54,45,24,2,1236,236,6,107,108,403,"N","W",0,55,6,120,"N"
580,78,13,55,26,12,5,773,1906,2,3,86,548,"N","W",282,7,14,120,"A"
278,43,20,38,53,30,15,312,874,1,740,919,99,"N","E",325,88,17,300,"N"
346,93,0,42,101,37,5,2303,1845,12,3,1314,12,"A","E",96,2,4,1000,"A"
581,127,16,54,81,15,6,3082,210,32,204,48,194,"A","E",92,2,12,230,"A"
232,110,7,26,69,35,3,3148,686,92,204,4,61,"N","E",49,29,19,260,"A"
216,71,8,56,19,30,4,3053,1839,55,436,579,452,"N","E",391,0,19,1237.5,"A"
161,100,8,31,32,39,6,670,2583,9,1008,56,238,"A","E",209,4,10,155,"A"
278,116,1,14,33,53,4,28,187,27,335,579,157,"A","W",203,82,20,75,"N"
186,59,15,69,98,65,4,216,715,84,612,122,784,"N","W",0,199,3,305,"A"
