"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
199,6,9,92,51,52,4,3327,753,7,612,977,20,"N","W",278,88,25,341.667,"A"
513,36,9,23,58,14,4,932,109,7,436,16,198,"A","W",125,8,2,740,"A"
209,163,13,33,65,73,1,653,715,55,292,29,239,"A","W",1236,12,12,517.143,"N"
489,61,13,32,28,14,13,4484,970,15,441,1067,286,"A","W",1253,2,0,200,"A"
313,130,6,32,19,22,3,5779,129,35,371,80,727,"N","W",137,4,12,NA,"N"
278,44,15,32,11,30,8,5589,1062,121,204,1299,65,"N","E",211,13,3,240,"N"
277,100,3,50,42,40,4,2796,1583,16,474,414,359,"N","E",310,9,18,235,"A"
211,152,1,94,30,22,3,2744,1397,5,884,289,1,"N","W",131,12,10,700,"A"
625,95,16,32,31,35,1,2358,1320,177,121,430,259,"A","E",278,445,4,NA,"A"
327,168,18,27,22,70,11,652,2732,55,420,41,214,"A","W",161,9,13,NA,"N"
204,53,14,30,78,36,1,4183,148,235,2165,109,44,"A","W",73,22,4,105,"A"
315,172,5,77,18,52,1,730,209,275,1045,263,387,"N","W",260,439,6,NA,"A"
680,68,6,18,37,89,4,350,191,93,139,54,49,"N","W",76,269,15,825,"N"
413,46,0,30,45,30,2,1437,113,9,245,693,155,"N","E",125,0,17,1350,"N"
401,131,10,95,96,52,3,6631,1358,128,32,167,63,"A","E",325,56,13,NA,"N"
354,120,9,50,52,25,1,4631,452,1,262,1128,163,"N","W",498,475,19,740,"N"
288,163,19,65,78,37,12,239,61,36,20,167,735,"A","W",361,7,16,175,"A"
416,151,22,61,96,43,13,498,565,73,269,326,194,"N","W",280,2,29,750,"A"
278,122,1,67,30,84,9,428,336,3,34,280,269,"N","W",1222,84,10,NA,"N"
578,132,18,49,13,62,2,1931,614,32,352,36,377,"N","E",315,8,14,145,"A"
330,57,8,107,35,52,7,2516,519,74,1072,161,89,"N","W",1182,2,5,600,"A"
492,122,5,31,73,12,14,3146,26,548,983,1652,165,"A","W",206,57,5,68,"N"
572,108,17,65,45,65,9,711,214,259,297,260,162,"N","W",73,0,18,175,"N"
523,142,6,86,52,45,17,1493,227,92,369,380,257,"N","E",282,82,3,875,"N"
490,103,16,91,46,59,11,7023,1397,38,409,119,136,"A","W",391,377,0,75,"N"
210,101,17,60,32,69,9,181,821,58,408,156,8,"A","E",310,54,8,NA,"N"
537,99,1,72,44,20,5,5829,698,36,217,54,295,"A","E",632,102,5,700,"N"
209,93,0,47,41,33,7,646,1358,61,379,94,146,"A","W",351,9,4,1041.667,"A"
138,1,5,30,0,30,14,884,633,100,743,16,166,"N","W",812,9,4,275,"A"
186,118,1,58,20,49,9,1568,355,31,713,1210,106,"N","W",152,185,19,NA,"A"
583,158,12,24,30,62,11,2815,610,48,89,342,50,"N","W",229,9,0,225,"A"
580,93,5,16,73,21,4,822,273,266,310,627,92,"A","W",235,11,0,120,"N"
472,101,5,58,98,36,1,2648,1332,32,128,406,95,"A","W",193,308,1,137,"N"
551,45,13,77,68,39,1,670,633,13,488,304,716,"N","W",121,0,9,1900,"A"
210,70,17,37,0,29,6,6207,1203,2,156,376,93,"A","W",156,5,3,100,"N"
593,40,0,91,33,65,9,1931,58,221,304,901,295,"N","E",846,204,4,90,"A"
357,54,5,27,81,18,3,426,978,1,862,99,66,"A","W",155,9,4,960,"A"
510,135,3,52,68,14,6,1335,160,37,371,130,22,"A","W",51,242,18,155,"N"
540,104,16,14,47,67,1,498,28,56,66,99,195,"A","W",103,170,8,175,"A"
338,95,8,24,97,17,12,41,139,271,121,158,68,"A","E",0,149,20,NA,"A"
357,141,1,28,0,15,8,196,86,259,813,257,105,"A","E",103,25,23,90,"A"
275,68,9,33,60,40,1,652,841,14,82,32,136,"A","W",138,492,26,100,"A"
381,76,3,50,44,28,6,2482,1397,21,77,99,24,"A","W",468,9,3,1150,"A"
181,152,3,77,81,45,1,7023,44,8,247,99,157,"A","E",317,6,10,365,"N"
314,146,7,44,52,16,1,4618,13,7,441,177,716,"N","E",107,292,4,NA,"A"
379,66,29,61,15,36,7,2695,167,155,604,54,78,"A","E",83,43,7,265,"A"
309,52,12,32,18,33,3,3118,66,6,304,32,257,"A","W",942,105,2,490,"N"
441,77,12,53,19,59,9,4139,160,107,51,108,51,"A","W",1045,213,4,275,"N"
490,132,3,37,48,16,2,33,1051,21,65,257,66,"A","W",102,2,11,NA,"A"
303,80,7,48,19,15,6,4139,13,93,16,29,153,"N","E",360,22,9,NA,"A"
313,109,11,45,37,38,12,1188,602,224,747,125,340,"N","W",121,8,4,250,"A"
490,76,5,97,18,39,15,6521,698,121,58,840,571,"N","E",118,7,12,NA,"N"
275,84,40,18,35,46,3,876,753,55,9,69,431,"N","E",203,18,13,326.667,"A"
