"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
127,152,8,0,57,16,2,773,657,4,266,38,289,"A","W",351,19,5,662.5,"A"
629,99,12,117,59,27,3,1337,109,384,518,919,784,"A","W",106,290,2,NA,"N"
442,104,21,94,36,44,12,3871,286,177,501,1210,65,"A","W",172,204,25,2412.5,"N"
284,152,5,19,65,46,5,6521,2402,48,746,121,259,"N","W",316,5,25,1008.333,"A"
579,73,10,66,86,22,4,354,1029,28,828,182,92,"N","E",151,2,4,341.667,"A"
566,131,8,12,11,27,9,1619,750,92,30,46,90,"A","E",812,41,19,773.333,"N"
288,76,18,80,85,77,8,2862,228,30,102,16,716,"N","E",193,13,6,625,"A"
200,102,3,107,49,26,10,1085,610,35,545,522,82,"A","E",142,29,22,NA,"A"
379,133,3,51,3,62,6,707,117,7,361,377,14,"N","W",145,84,8,587.5,"A"
255,144,15,47,26,19,1,2331,457,16,1045,121,55,"N","E",62,12,6,90,"A"
205,112,7,101,32,69,12,3231,1661,12,634,288,284,"A","E",281,445,3,657,"A"
491,117,8,86,29,29,7,290,59,32,1,1067,62,"A","W",1378,210,6,450,"A"
395,118,14,76,94,43,10,507,58,268,80,158,45,"A","W",697,211,1,950,"A"
33,184,0,50,108,30,3,2325,1833,117,451,1314,136,"N","W",118,185,12,490,"A"
388,27,5,53,49,40,1,2325,227,38,1045,1032,608,"N","E",102,57,12,NA,"A"
317,157,4,91,18,45,3,1185,1145,351,1115,955,417,"A","W",912,88,3,300,"A"
239,46,13,21,57,18,6,1928,426,55,113,1299,105,"N","E",332,4,11,325,"A"
441,161,0,42,18,29,4,994,448,0,986,31,118,"A","W",53,48,8,900,"A"
495,27,7,33,35,42,5,805,259,19,501,40,417,"A","E",316,98,3,160,"N"
22,151,10,1,96,47,15,196,1646,22,34,83,241,"N","E",332,1,0,850,"N"
530,118,7,16,58,19,7,1700,2083,8,210,949,0,"N","W",912,4,13,275,"A"
424,41,10,77,8,35,4,2235,671,23,218,406,150,"N","E",49,6,8,100,"N"
340,83,9,33,58,12,7,1457,900,65,980,179,78,"N","W",172,33,5,475,"A"
343,100,5,42,58,35,3,7058,160,1,226,890,24,"A","E",181,0,9,145,"A"
