"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
181,1,12,32,16,16,1,2816,939,16,862,827,56,"N","E",117,283,7,NA,"N"
313,210,9,48,36,37,4,1876,902,17,211,4,417,"N","E",143,13,10,155,"A"
521,170,6,47,56,65,5,730,187,160,965,290,189,"A","W",251,32,15,NA,"A"
321,113,11,37,26,46,5,2641,170,22,313,173,62,"A","E",107,211,6,250,"A"
593,122,3,48,29,19,8,244,357,25,408,300,118,"A","E",206,0,5,191,"N"
220,179,0,98,43,18,3,19,397,9,106,343,203,"N","W",109,118,24,775,"N"
317,27,3,56,36,15,7,2964,1169,8,450,32,716,"N","W",0,177,5,900,"A"
161,127,9,20,96,24,18,428,34,11,518,4,478,"A","W",99,12,4,750,"A"
549,61,10,35,49,35,9,498,192,2,730,91,11,"A","E",846,334,2,900,"A"
216,71,4,31,46,32,6,2223,68,16,244,326,337,"A","E",80,14,16,NA,"A"
578,88,14,34,108,21,14,1236,583,153,775,93,340,"N","W",103,6,3,NA,"A"
480,131,12,61,46,32,2,1775,228,12,302,1314,194,"N","W",161,12,25,75,"N"
584,174,7,70,73,53,20,413,835,80,156,91,50,"N","W",0,6,5,1940,"N"
323,46,20,30,17,30,6,28,86,3,58,132,134,"A","E",367,371,0,362.5,"A"
186,110,8,35,37,45,2,3053,890,291,978,138,163,"N","E",367,30,6,415,"N"
600,123,5,34,88,65,18,232,54,28,420,46,110,"N","W",0,98,16,670,"A"
578,138,4,42,65,78,4,6890,135,35,18,122,118,"N","E",361,421,6,90,"A"
419,104,2,23,43,22,4,1350,377,253,107,38,866,"A","W",69,5,4,1300,"A"
600,141,4,58,46,26,6,8424,344,121,1033,219,45,"A","E",709,139,21,275,"A"
351,44,8,89,37,30,7,3754,209,46,3,192,78,"A","E",1314,13,5,190,"N"
633,113,12,94,53,20,12,540,116,225,76,46,102,"A","W",1182,43,19,700,"A"
186,71,15,44,53,21,5,1968,82,39,128,91,93,"N","W",72,1,8,67.5,"A"
288,170,1,45,20,62,11,2703,1203,56,106,435,138,"A","W",142,99,2,NA,"N"
441,98,17,80,94,65,12,5017,113,8,302,10,295,"N","W",283,6,0,265,"A"
127,81,12,70,61,12,1,3859,1029,44,58,119,89,"A","W",697,19,0,765,"N"
307,168,0,18,30,14,3,216,1397,43,6,327,48,"A","E",0,7,1,525,"A"
426,61,19,89,105,27,4,4291,359,17,901,69,875,"A","E",190,9,13,550,"N"
239,63,31,17,24,21,16,7127,928,100,746,497,414,"A","W",237,30,9,230,"N"
126,163,24,69,29,22,6,1188,1046,13,1045,37,138,"A","E",1199,59,17,1925.571,"N"
244,174,31,31,58,21,5,2140,915,17,113,80,34,"A","E",237,7,9,NA,"A"
524,119,6,56,29,34,12,1770,2464,13,250,336,854,"A","E",512,479,14,135,"N"
614,113,29,18,43,0,12,279,108,13,1003,35,7,"N","E",259,372,4,1500,"A"
166,149,6,62,79,13,13,181,205,12,379,26,269,"A","E",319,105,8,105,"A"
283,47,8,48,25,17,3,2682,42,32,300,149,295,"A","E",121,8,13,91.5,"N"
193,51,28,77,25,22,2,5409,2583,44,703,222,117,"N","E",283,19,8,341.667,"N"
271,92,9,48,35,32,6,3573,192,23,377,14,153,"N","E",105,445,4,500,"A"
441,76,20,48,2,26,4,1646,355,25,201,88,12,"A","W",1218,8,9,97.5,"N"
627,169,23,58,22,43,18,4484,192,117,421,137,695,"N","W",132,32,4,550,"N"
138,101,14,90,42,56,2,1367,1947,2,139,70,269,"A","W",224,246,4,900,"A"
330,159,0,45,74,47,6,694,361,315,450,103,535,"N","E",367,9,0,1450,"A"
232,113,28,57,50,36,3,592,715,14,828,80,340,"N","W",415,25,9,400,"A"
522,76,0,90,50,45,2,232,172,59,101,23,203,"A","W",812,3,22,1041.667,"N"
202,84,8,65,28,20,3,1649,234,22,63,158,16,"N","W",270,29,3,657,"N"
584,179,13,66,15,14,4,7472,667,166,71,1314,187,"A","W",203,415,14,1450,"A"
