"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
439,122,1,57,23,15,11,279,1028,4,616,417,153,"A","W",292,220,7,NA,"N"
313,57,17,30,75,57,1,278,1029,69,545,44,354,"A","W",239,36,1,NA,"N"
581,154,26,54,56,23,18,1750,1388,1,32,202,122,"A","W",50,6,1,NA,"A"
265,132,5,12,25,30,10,1447,179,29,196,177,382,"A","W",269,9,0,550,"N"
599,53,20,58,37,44,6,1810,333,24,258,132,86,"N","E",1377,292,0,90,"A"
186,76,31,66,58,31,3,5347,209,48,65,652,267,"A","E",73,369,4,415,"N"
369,132,3,24,29,77,18,6100,113,166,315,1128,257,"A","E",157,389,3,75,"A"
236,61,21,94,33,26,2,4618,80,7,273,32,697,"N","E",368,88,1,135,"N"
486,101,0,2,20,15,3,999,658,241,676,132,526,"N","E",44,141,1,600,"A"
193,109,20,54,49,12,13,216,66,74,207,10,11,"A","W",96,9,8,NA,"N"
405,158,17,61,25,52,6,592,238,108,41,48,319,"A","E",88,407,11,165,"N"
600,124,21,66,35,83,14,4086,309,24,1008,46,267,"A","W",209,3,4,202.5,"N"
359,92,20,44,108,38,2,2133,2130,56,102,268,274,"A","W",119,149,5,787.5,"A"
219,163,0,80,44,40,5,7472,476,19,545,707,158,"A","E",425,445,4,850,"N"
520,101,6,60,23,30,2,1646,249,35,2,121,4,"N","W",76,5,11,300,"A"
687,55,3,58,56,22,15,1493,874,116,201,401,11,"N","W",1378,5,4,530,"A"
415,142,25,18,21,30,1,216,844,6,211,64,134,"N","W",145,290,10,70,"N"
429,113,4,26,26,35,5,312,614,18,703,1289,221,"N","E",426,32,8,600,"N"
593,118,2,48,88,15,1,3327,6,6,24,173,80,"N","E",58,9,8,135,"N"
324,123,17,45,110,22,12,6727,2095,31,324,227,238,"A","E",145,9,11,325,"N"
524,138,2,0,72,11,3,7287,1397,28,117,148,170,"A","E",132,30,19,200,"N"
281,172,5,108,8,20,8,8247,1000,347,77,31,47,"A","E",304,0,6,550,"N"
633,141,0,57,72,47,2,3031,1543,12,897,652,274,"A","W",1199,156,4,NA,"A"
511,94,9,17,70,17,14,9778,1840,36,379,29,155,"A","E",67,132,9,NA,"N"
633,93,3,91,14,15,1,1568,1397,126,630,700,15,"A","W",325,144,1,NA,"N"
19,138,29,101,57,22,1,805,462,1,753,56,71,"N","E",80,222,3,875,"N"
557,49,31,20,75,37,4,1325,555,104,65,77,564,"A","W",166,22,2,1300,"N"
370,152,14,44,29,20,1,5150,298,36,72,319,483,"A","E",121,286,3,300,"A"
221,92,13,58,26,75,1,1646,470,43,117,627,162,"N","W",320,88,0,480,"A"
200,2,14,85,74,54,5,1089,426,36,87,428,86,"A","E",282,45,0,1043.333,"A"
585,85,16,26,79,25,1,2051,267,38,304,10,617,"A","W",332,317,2,341.667,"N"
507,10,20,46,37,30,10,999,2732,347,33,86,76,"N","E",190,70,3,172,"N"
637,169,16,31,77,18,12,4338,78,56,405,274,273,"A","E",212,53,10,70,"A"
565,36,5,22,15,19,11,2796,339,43,300,1348,50,"N","W",96,10,0,416.667,"A"
172,73,25,42,96,66,13,416,771,48,2,376,15,"A","W",153,9,5,225,"A"
453,101,1,56,42,53,6,233,544,32,20,263,47,"N","E",243,19,0,725,"A"
407,46,6,48,36,58,9,961,116,110,698,202,564,"N","W",434,450,4,1150,"A"
594,64,0,48,18,59,14,653,355,291,265,596,136,"N","W",209,144,11,657,"N"
283,106,2,53,29,25,5,3358,1077,32,278,103,122,"A","E",1253,4,3,1000,"N"
369,70,27,14,39,17,4,6063,874,24,2,106,351,"A","W",133,3,11,670,"A"
281,127,23,1,44,30,3,4405,470,4,486,149,106,"A","E",332,10,14,300,"A"
490,71,8,76,17,28,3,215,587,69,135,44,50,"N","E",1224,334,17,247.5,"A"
484,113,7,130,55,30,4,19,267,210,309,158,989,"N","W",179,1,9,NA,"A"
550,183,23,85,121,92,2,416,129,46,106,99,1087,"N","E",96,246,7,NA,"A"
520,58,7,54,71,34,7,2051,151,146,901,822,417,"A","W",226,290,0,2412.5,"N"
307,131,18,65,56,35,7,3967,516,44,712,195,18,"A","W",212,47,0,1260,"N"
526,83,18,25,116,49,5,1309,1231,209,1141,106,4,"N","E",50,2,18,NA,"A"
600,174,5,91,28,84,13,912,184,266,216,268,495,"N","E",269,3,3,920,"N"
165,53,1,37,75,39,3,1518,6,305,410,75,55,"N","W",942,204,1,NA,"N"
237,120,0,32,62,38,5,854,686,177,266,260,304,"N","W",278,40,3,1300,"A"
299,112,2,42,81,33,5,7058,404,56,1008,401,155,"A","W",267,0,5,400,"A"
551,81,8,24,52,30,5,3118,1833,38,57,167,118,"N","W",325,65,0,250,"A"
257,1,0,38,56,33,2,5409,671,36,1043,125,138,"N","W",389,15,16,NA,"A"
507,68,6,50,65,15,9,884,470,5,965,365,854,"A","W",211,492,1,120,"N"
330,82,0,24,45,40,2,667,698,73,577,96,286,"N","E",207,0,4,662.5,"N"
600,163,6,92,58,18,18,5952,270,83,713,0,117,"N","W",1253,9,11,165,"A"
