"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
479,141,3,57,121,39,1,5779,42,0,784,185,45,"A","W",131,290,1,230,"N"
589,93,13,58,23,62,4,1399,1511,154,419,33,174,"A","E",692,45,11,191,"N"
210,92,34,53,24,62,7,2140,249,247,295,32,68,"N","W",237,19,9,230,"A"
418,37,3,43,74,42,2,950,1388,48,39,458,150,"A","W",97,4,8,95,"N"
625,53,6,22,37,16,3,312,94,210,211,274,422,"A","W",73,22,2,NA,"N"
438,56,29,0,3,32,8,4478,50,42,196,82,414,"N","W",49,0,6,450,"A"
445,52,0,32,21,12,6,5590,66,7,205,149,110,"A","E",73,54,1,250,"A"
340,171,6,39,51,18,14,3828,1213,24,544,192,313,"N","W",211,70,10,1350,"A"
208,57,1,38,36,24,7,498,1320,13,33,173,92,"N","E",80,8,26,75,"A"
530,163,15,37,19,7,10,8247,220,16,630,99,551,"A","W",116,445,17,1975,"A"
631,40,0,32,42,51,6,5829,978,9,67,263,50,"N","W",282,290,8,670,"N"
627,157,1,86,18,56,1,3358,308,32,145,840,82,"N","W",158,2,0,362.5,"A"
278,117,21,23,9,29,6,1512,1193,16,545,1210,30,"A","W",107,16,1,265,"A"
376,34,8,67,30,18,10,5624,1062,40,107,365,62,"N","W",161,5,3,550,"A"
289,141,8,22,0,12,5,6207,220,9,105,977,377,"A","W",104,111,7,87.5,"A"
209,125,9,56,18,87,1,2128,1300,14,461,227,564,"A","W",846,70,8,NA,"N"
185,96,3,67,30,2,17,2796,209,4,73,1032,157,"A","W",226,174,20,900,"N"
510,76,29,27,44,24,12,1258,344,29,132,1093,166,"N","E",227,53,7,165,"A"
339,96,9,23,97,23,1,2131,210,44,211,406,377,"N","E",303,19,7,416.667,"N"
288,194,4,70,113,53,2,2133,214,28,796,192,51,"N","E",276,35,8,700,"A"
508,63,8,98,51,21,7,2543,1000,312,433,86,364,"N","W",142,172,9,765,"N"
185,169,13,63,113,41,15,1394,86,145,82,263,63,"A","E",756,9,2,365,"A"
526,113,31,77,58,65,8,6840,452,2,292,280,269,"A","E",166,39,6,275,"A"
338,37,16,31,97,52,1,2133,244,22,156,103,174,"N","E",70,327,6,275,"N"
359,137,1,67,27,21,16,3146,633,348,1003,222,309,"N","W",337,0,4,160,"A"
303,115,3,1,29,76,4,961,6,347,349,660,32,"A","W",391,15,9,430,"N"
591,84,5,37,10,21,18,2682,1578,16,304,474,71,"N","E",1182,327,13,75,"A"
351,131,2,32,38,23,12,1556,1388,92,740,279,635,"A","E",468,144,12,1000,"A"
181,52,6,58,55,12,13,2816,260,97,117,421,600,"N","W",1224,19,0,NA,"A"
584,44,9,42,75,60,5,344,1169,41,149,909,189,"N","W",0,1,0,1300,"A"
344,60,27,67,17,52,5,696,113,24,216,401,735,"N","W",92,22,7,200,"A"
492,167,1,56,108,2,4,2765,467,41,156,82,71,"A","W",200,0,10,105,"A"
405,163,12,108,44,68,1,680,68,30,321,342,48,"N","W",325,2,20,NA,"A"
126,152,12,52,0,77,12,580,76,225,702,294,325,"A","E",145,72,0,750,"A"
480,109,1,29,36,38,6,1770,750,16,338,70,105,"A","W",289,174,20,NA,"A"
633,184,7,73,42,51,5,815,42,128,96,579,452,"A","E",241,61,5,202.5,"N"
589,51,6,15,75,62,3,1350,2464,6,545,351,497,"N","E",0,199,2,250,"A"
288,82,29,27,9,31,18,1136,408,268,3,666,24,"A","E",286,213,2,450,"A"
220,31,5,72,31,70,1,1556,834,28,27,504,269,"A","E",463,0,7,175,"A"
208,53,16,107,65,22,3,1619,1382,77,247,103,274,"A","E",0,6,16,933.333,"N"
278,96,25,82,95,92,13,426,129,133,66,734,375,"A","W",203,407,4,600,"N"
298,200,3,28,29,16,10,1258,657,16,67,82,63,"N","E",1218,439,9,625,"A"
309,7,26,48,35,51,6,2131,218,40,34,177,644,"A","E",107,131,0,202.5,"N"
568,96,19,57,44,33,8,4405,874,20,123,37,117,"N","W",138,115,0,250,"A"
354,101,5,91,83,9,2,6675,64,166,30,86,33,"A","W",118,4,8,110,"N"
344,159,7,20,48,53,7,4908,1647,45,265,374,26,"A","W",756,14,2,140,"A"
614,82,3,55,52,9,12,33,308,7,202,86,107,"N","W",391,5,0,1800,"A"
237,47,18,107,78,24,18,1512,283,268,144,299,157,"A","E",207,9,1,737.5,"N"
407,157,31,23,102,14,14,694,167,1,59,94,402,"N","W",359,25,8,NA,"A"
323,171,23,69,18,26,12,978,1646,100,258,314,67,"N","W",91,445,5,350,"A"
311,59,0,61,18,16,14,1394,1833,384,245,34,31,"A","E",86,22,2,NA,"A"
507,101,10,44,29,46,2,4677,2147,67,58,174,63,"A","W",262,9,15,277.5,"N"
503,163,4,101,23,57,4,28,59,23,291,230,716,"A","W",88,22,2,NA,"A"
199,163,2,46,0,12,3,84,58,3,1082,1348,240,"A","E",138,406,9,535,"A"
513,174,6,44,3,1,3,593,715,60,24,343,33,"A","E",240,59,6,NA,"N"
