"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
438,101,23,53,73,43,9,1437,209,78,126,401,32,"N","W",91,257,7,NA,"A"
376,136,17,23,38,22,1,312,549,247,224,161,854,"A","E",1182,12,3,NA,"N"
504,112,1,89,60,21,2,4273,2024,12,113,174,117,"A","W",238,2,16,825,"A"
579,141,23,82,37,20,2,2641,34,73,361,39,45,"N","W",106,269,4,NA,"N"
419,152,1,73,25,52,12,711,1575,16,105,199,317,"N","W",222,22,6,NA,"N"
257,101,6,36,59,53,6,354,1632,53,181,46,161,"A","W",158,9,16,NA,"A"
401,27,13,34,47,37,5,2358,1767,7,2165,75,635,"A","W",235,9,2,400,"A"
426,159,15,36,63,73,23,4677,184,9,99,815,478,"N","W",0,54,17,195,"N"
394,81,13,24,75,35,8,8759,325,41,1115,428,866,"N","E",260,8,14,150,"N"
225,238,3,58,37,55,5,4061,516,9,20,55,239,"A","E",0,12,5,225,"N"
491,86,10,20,29,97,4,1546,170,224,377,125,1380,"N","E",249,0,18,1600,"N"
379,63,21,53,15,61,7,341,238,102,986,149,1057,"A","E",107,7,12,277.5,"A"
584,123,20,50,83,21,8,884,1397,36,50,16,32,"A","E",0,3,20,277.5,"N"
368,139,12,42,61,62,5,3148,351,15,615,163,221,"N","W",518,5,10,247.5,"N"
593,127,0,30,46,36,15,214,671,56,1072,949,20,"N","E",116,11,9,75,"A"
312,146,4,26,51,39,8,3926,2095,30,753,280,259,"A","W",262,479,6,125,"A"
424,61,31,2,29,32,1,2543,1169,59,48,522,571,"A","W",512,4,2,960,"A"
586,78,8,37,60,90,5,1568,160,4,72,284,101,"A","W",226,4,7,NA,"A"
524,81,16,89,33,47,5,1931,1102,7,166,18,298,"A","W",28,40,22,320,"A"
496,172,5,59,29,39,11,2020,1323,0,27,803,304,"A","E",122,149,15,100,"N"
441,82,4,82,77,62,1,7023,491,30,578,328,0,"A","E",697,258,3,625,"N"
341,149,23,90,25,13,9,1810,54,94,167,23,170,"A","E",142,7,4,385,"N"
513,27,4,16,72,26,7,2516,1133,19,149,108,12,"A","W",51,14,6,165,"A"
155,32,9,83,53,0,4,41,404,1,616,386,32,"N","E",282,0,6,200,"A"
517,52,7,34,63,22,4,2658,1925,8,247,125,1380,"A","W",203,292,3,430,"N"
677,122,17,91,85,15,6,3449,2147,8,113,263,535,"A","W",211,369,25,75,"N"
591,91,11,67,117,28,4,1506,770,38,247,29,99,"N","E",76,5,18,NA,"A"
589,152,16,38,73,52,9,1775,102,93,96,458,417,"N","E",166,9,2,875,"N"
303,157,16,31,86,37,3,4933,457,9,409,522,258,"A","W",0,10,7,NA,"A"
490,118,9,32,93,81,1,5562,392,3,61,174,136,"N","E",102,0,5,385,"A"
368,4,15,42,81,39,11,2872,44,154,901,13,67,"N","E",352,84,8,NA,"A"
486,92,3,32,14,34,5,6675,357,6,461,417,113,"A","E",224,12,3,110,"A"
205,7,8,67,85,18,1,1188,135,253,123,284,45,"A","E",88,174,7,210,"N"
289,135,12,21,84,30,1,646,1066,69,129,1067,55,"N","E",316,204,9,1350,"A"
205,70,10,45,36,14,17,4405,857,2,123,201,242,"N","W",408,242,19,NA,"A"
328,163,5,14,37,91,2,653,493,64,39,3,351,"A","W",278,111,10,NA,"N"
424,53,5,45,23,18,7,226,1240,17,494,219,174,"N","W",37,450,1,1925.571,"A"
236,163,21,35,78,20,12,84,361,48,410,276,337,"A","W",286,12,9,NA,"N"
431,210,7,89,25,62,4,2128,2198,2,557,226,777,"N","E",483,6,10,708.333,"A"
642,66,28,60,65,26,18,6207,1051,115,1,666,76,"A","E",166,329,9,NA,"A"
479,41,22,72,47,28,7,279,78,49,287,12,57,"N","E",59,3,6,1183.333,"A"
580,160,8,23,25,21,14,1506,902,6,287,80,128,"A","E",245,1,18,900,"N"
586,39,13,44,62,21,4,181,1397,259,224,949,88,"N","W",102,1,7,NA,"N"
241,137,9,23,36,22,1,1063,686,16,117,993,727,"A","E",151,4,4,190,"N"
420,101,3,22,74,16,7,2728,1320,20,2,252,382,"A","E",224,308,18,325,"A"
539,70,7,19,60,72,4,670,184,315,429,201,111,"N","W",351,15,7,560,"N"
339,207,27,33,41,14,3,4291,1840,110,211,401,102,"N","W",325,83,4,75,"A"
510,40,2,78,19,46,6,3828,234,7,9,949,309,"N","W",86,39,0,480,"N"
517,77,16,48,33,21,4,2744,684,16,226,97,55,"N","E",87,21,6,480,"A"
227,186,5,107,34,30,7,3571,566,32,315,384,321,"A","W",185,82,8,787.5,"A"
214,51,13,61,41,30,11,1968,815,7,180,1652,26,"N","W",756,1,9,NA,"A"
193,140,23,54,54,0,9,3754,1610,18,1019,46,3,"N","E",142,407,4,737.5,"N"
395,93,5,49,33,89,3,1897,1647,0,612,69,546,"A","W",92,290,16,850,"A"
155,52,8,31,102,17,3,5952,408,351,300,94,157,"N","E",267,2,2,90,"A"
491,51,4,35,73,83,6,288,120,16,376,1128,708,"A","W",241,2,0,215,"A"
288,60,1,66,48,54,1,711,866,55,379,26,61,"A","E",155,80,2,1300,"A"
324,82,19,54,23,32,3,3919,68,27,698,827,1057,"N","E",0,445,19,135,"N"
126,53,6,4,18,92,3,278,355,48,272,497,40,"N","E",325,18,13,175,"A"
20,3,17,42,58,18,5,7546,298,75,315,1652,387,"A","E",246,1,15,933.333,"A"
517,110,3,4,78,15,13,2131,753,1,117,126,619,"N","W",102,290,14,420,"A"
585,76,12,54,31,25,4,5590,1330,247,796,103,117,"N","E",145,43,11,1000,"A"
404,146,4,48,42,49,2,1931,326,0,121,13,257,"A","W",282,5,5,1000,"A"
