"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
537,119,29,36,39,18,6,2131,44,100,181,1050,680,"N","W",682,30,9,425,"A"
327,119,0,85,79,47,17,4139,594,121,72,4,107,"N","E",149,44,1,NA,"A"
401,147,14,40,44,49,10,2765,462,37,724,156,71,"N","W",391,267,16,100,"A"
126,92,5,58,35,43,8,549,634,32,262,10,87,"N","E",866,10,12,137,"A"
424,117,20,66,8,18,7,3571,231,100,1141,263,528,"N","E",161,445,13,300,"N"
338,42,4,1,98,39,4,3006,872,2,313,117,258,"N","E",96,1,9,1041.667,"A"
453,68,1,54,53,63,1,6986,571,46,847,401,158,"A","W",207,98,7,475,"A"
633,106,4,107,48,73,8,344,78,12,983,472,117,"A","W",1253,5,0,450,"N"
239,136,3,69,49,17,2,1359,1543,8,224,48,535,"N","E",391,15,2,340,"N"
507,70,21,56,25,58,5,3967,236,12,371,26,64,"N","W",240,7,10,190,"N"
616,120,29,95,48,21,17,2235,398,5,1509,198,644,"N","W",156,108,3,1310,"A"
255,41,11,60,33,91,9,5347,408,16,38,257,158,"N","E",367,2,4,2127.333,"N"
329,163,5,88,41,17,18,2174,404,4,238,125,410,"N","E",59,5,3,1310,"A"
475,102,0,30,117,19,13,1546,1947,305,451,55,246,"A","W",64,39,3,NA,"A"
271,122,7,89,84,39,6,2954,59,195,361,48,1566,"A","E",133,4,13,350,"A"
591,59,29,54,59,35,5,233,1839,93,3,377,105,"A","E",166,439,12,1175,"N"
323,47,2,42,36,81,5,2128,326,268,58,376,19,"N","W",181,450,3,340,"N"
589,135,21,41,38,37,7,711,462,65,121,1093,128,"A","W",942,0,13,2412.5,"A"
526,32,1,42,23,8,8,2331,686,4,352,121,22,"A","W",286,56,3,800,"N"
522,169,3,77,60,37,5,3449,453,16,113,76,80,"N","W",426,444,9,1043.333,"A"
517,84,8,12,107,24,7,1354,594,209,419,319,113,"A","E",682,258,1,365,"N"
313,39,5,24,46,27,10,2728,187,1,93,445,854,"A","E",167,7,20,NA,"N"
191,100,0,28,51,71,14,2872,227,90,352,417,1153,"A","W",251,5,8,450,"N"
403,128,8,70,77,92,1,2325,747,271,196,838,33,"A","E",756,16,5,1050,"N"
542,141,2,19,29,68,4,5409,880,3,450,414,31,"A","E",249,127,3,416.667,"A"
418,140,9,36,70,41,1,3148,1615,24,324,803,171,"A","W",463,32,20,NA,"A"
151,102,7,59,36,30,1,396,404,16,156,39,373,"A","W",0,6,5,900,"A"
550,46,5,38,85,52,1,159,259,442,279,1032,99,"N","E",59,6,16,NA,"A"
578,78,26,42,20,37,12,8396,587,74,128,230,246,"N","W",211,11,23,NA,"N"
327,133,28,42,44,22,2,181,491,24,352,103,55,"A","E",53,22,8,740,"N"
583,148,2,76,60,14,5,2079,915,42,166,1289,86,"A","E",281,317,3,175,"N"
405,68,4,37,0,52,9,1493,78,55,123,32,122,"A","E",295,213,14,500,"A"
593,52,5,34,18,59,5,3926,1000,4,450,167,495,"N","W",0,58,2,75,"A"
216,84,9,76,110,36,13,226,1947,268,164,414,99,"A","E",58,11,3,190,"N"
283,127,16,43,66,21,10,3031,568,12,195,130,76,"N","W",102,8,16,475,"N"
507,103,1,52,36,73,6,278,260,548,330,365,63,"A","W",0,334,2,225,"A"
235,124,5,19,83,22,6,317,86,235,273,48,40,"A","E",28,492,6,247.5,"N"
600,47,4,53,44,53,2,592,338,271,66,386,22,"A","E",107,292,7,630,"A"
413,144,16,50,23,19,18,2778,1839,74,34,76,18,"N","W",319,0,7,875,"N"
568,106,9,98,60,27,13,978,753,155,2,48,114,"N","E",60,1,2,NA,"N"
324,54,4,29,25,41,4,2765,376,30,1,4,284,"A","W",238,9,8,NA,"A"
336,104,20,36,27,9,7,3146,42,30,724,130,9,"A","E",249,406,2,90,"A"
370,118,6,54,52,13,8,2964,53,128,126,288,174,"N","W",212,1,0,525,"A"
288,39,30,38,66,21,10,1624,86,32,349,44,819,"A","W",91,8,2,630,"A"
263,49,0,23,84,12,12,950,108,44,292,1067,248,"A","W",172,11,8,341.667,"A"
216,68,1,57,57,44,4,4739,103,35,3,82,15,"A","E",0,32,3,155,"A"
