"AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","League","Division","PutOuts","Assists","Errors","Salary","NewLeague"
508,76,12,62,43,54,1,2954,1069,90,80,34,52,"N","E",209,147,10,773.333,"N"
257,97,5,42,56,40,1,5952,882,2,45,325,45,"A","W",105,381,11,75,"A"
327,132,7,36,36,28,6,3449,103,36,58,1314,49,"A","W",193,22,4,155,"A"
193,119,4,42,37,27,6,730,1972,231,444,822,11,"A","E",1182,30,4,875,"N"
629,47,0,17,64,15,7,680,170,384,488,1088,375,"N","W",325,213,5,490,"N"
181,146,5,42,55,32,9,2130,403,128,108,803,332,"A","E",391,371,1,450,"A"
565,131,10,82,96,22,3,2815,309,128,371,805,274,"N","W",425,8,3,110,"N"
283,137,29,26,65,59,4,5150,1575,266,101,9,54,"A","W",239,9,1,250,"A"
312,142,9,49,32,26,5,5913,187,8,273,31,27,"A","W",320,358,17,600,"A"
303,174,5,57,85,24,4,3967,209,116,66,519,298,"A","E",261,15,18,1310,"N"
327,101,4,54,8,20,2,1469,44,38,545,504,866,"N","W",709,432,6,750,"A"
236,41,20,48,26,32,1,84,491,221,126,303,153,"A","E",290,371,1,250,"A"
574,95,5,28,83,33,2,6661,392,57,1019,462,332,"N","W",282,21,5,775,"A"
298,73,3,42,75,21,12,3400,123,3,123,420,227,"A","E",259,149,5,340,"A"
195,57,17,46,46,18,8,8068,1839,2,219,1032,178,"A","E",181,45,3,NA,"A"
225,109,1,63,48,23,4,3210,34,79,102,64,11,"N","E",358,9,5,150,"N"
209,85,14,25,58,36,12,4739,94,1,300,458,89,"A","E",429,0,8,NA,"A"
217,43,8,18,29,43,3,1258,874,11,3,445,459,"N","W",40,176,5,155,"N"
510,69,7,41,113,22,7,509,228,40,352,219,546,"A","E",332,38,0,NA,"A"
438,68,27,25,26,46,4,793,770,32,313,32,854,"A","W",463,113,1,750,"A"
551,211,5,117,18,8,4,1188,1257,121,376,420,240,"A","E",468,4,14,400,"A"
431,78,8,76,10,37,2,815,1575,27,108,705,296,"N","E",91,46,32,825,"N"
127,58,0,42,48,22,9,3651,82,241,41,47,24,"N","E",96,6,2,650,"N"
357,145,8,73,96,21,13,2303,1634,128,63,16,122,"A","W",235,4,6,737.5,"A"
225,70,21,65,14,60,2,6840,238,0,349,336,820,"A","W",316,84,25,675,"N"
457,76,4,0,18,24,9,5206,1169,6,901,149,375,"A","E",810,2,0,450,"N"
190,149,21,1,33,31,18,1624,728,63,441,125,52,"A","W",227,0,20,900,"A"
204,39,6,24,38,27,18,1506,737,27,32,96,666,"N","W",53,108,5,365,"N"
583,47,12,82,44,19,3,6126,218,312,321,803,14,"N","E",96,56,4,NA,"N"
591,207,20,62,29,16,9,3162,686,164,41,284,317,"N","W",60,56,17,630,"A"
491,119,24,92,73,38,6,884,841,35,420,29,22,"N","W",332,0,2,NA,"A"
200,59,16,36,53,58,14,5206,403,116,287,222,224,"N","W",202,213,6,450,"N"
537,147,29,58,27,55,7,7472,1429,27,18,34,66,"A","E",244,9,13,NA,"A"
232,84,8,75,47,30,16,2728,49,117,217,46,168,"A","W",106,2,7,100,"A"
491,77,18,35,28,20,1,972,1840,16,901,417,317,"N","W",512,3,4,110,"A"
610,101,31,75,91,43,12,1447,1972,0,27,199,153,"A","W",442,242,1,NA,"A"
559,64,3,80,68,14,4,8424,568,50,408,29,80,"A","E",148,132,14,140,"N"
232,125,18,20,21,14,2,1313,336,55,643,31,14,"N","E",0,415,0,625,"A"
181,118,6,88,26,27,6,216,470,93,300,106,174,"A","E",1231,10,12,875,"A"
424,51,21,72,95,13,12,19,359,166,935,110,63,"A","W",533,54,9,NA,"A"
279,52,20,19,71,28,8,1457,715,1,698,64,32,"A","E",119,0,16,2412.5,"A"
437,36,13,23,27,42,11,2682,737,44,676,417,91,"N","E",313,226,15,362.5,"N"
193,135,5,82,34,21,13,2682,426,379,862,259,990,"A","W",808,173,5,670,"N"
284,77,0,35,29,60,18,507,684,93,724,257,608,"N","W",244,45,10,365,"A"
232,41,8,91,51,16,7,5952,209,38,987,26,535,"A","W",880,40,9,300,"A"
193,92,3,56,86,92,7,2954,770,32,1048,198,317,"N","E",65,381,10,190,"A"
591,160,1,67,108,88,8,2288,219,2,181,74,644,"N","W",846,6,5,145,"A"
330,31,20,17,61,68,4,7186,44,50,20,35,242,"N","W",206,0,19,137,"A"
496,184,28,107,75,62,13,4992,139,94,148,445,80,"A","E",62,284,13,750,"A"
257,127,6,24,47,15,3,884,1785,70,352,1348,163,"A","E",623,372,6,NA,"A"
581,58,8,62,39,9,5,4478,426,28,371,349,382,"A","E",261,2,7,1050,"A"
257,54,40,31,18,17,10,186,541,351,366,44,198,"A","W",325,149,7,200,"A"
497,54,27,67,80,35,8,793,874,153,577,380,99,"A","W",247,5,2,NA,"N"
204,52,3,49,84,57,4,8424,667,55,48,93,150,"A","W",107,8,8,800,"A"
489,113,21,42,29,26,2,6890,970,19,9,9,242,"N","W",315,257,0,NA,"N"
627,170,0,89,30,66,5,4139,822,100,703,384,431,"N","E",131,2,5,75,"A"
416,57,6,76,43,77,14,1770,163,32,315,32,71,"A","W",206,46,6,737.5,"A"
504,40,12,54,33,79,5,1700,467,47,740,13,406,"A","E",389,0,0,250,"N"
343,27,5,35,61,80,9,7023,844,92,207,185,551,"N","E",222,421,14,950,"N"
309,41,4,31,44,21,5,2516,299,44,743,1015,643,"N","W",316,0,4,300,"A"
